sample_id,i_bits,o_bits,i_hex,o_hex,count
390,1010000010000000000000111011001000011010010,0000,0x504001d90d2,0x0,9
391,0010000010000100000000111100101001011010010,0000,0x104201e52d2,0x0,1
392,0010000010000000000000111100101001011100100,0000,0x104001e52e4,0x0,24
393,0010000010000100000000111101101001011100100,0000,0x104201ed2e4,0x0,2
394,0010000010000000000000111000000000000111110,0000,0x104001c003e,0x0,6954
395,0010000010000100000000111111110011010111110,0000,0x104201fe6be,0x0,1003
396,0010000010000000000000111111110011010111110,0000,0x104001fe6be,0x0,7443
397,0010000010000110000000111111110000010111110,0000,0x104301fe0be,0x0,1003
398,0010000010000010000000111111110000010000000,0000,0x104101fe080,0x0,32402
399,0010000010000000000000111000000010110101000,0000,0x104001c05a8,0x0,11
400,0010000010000000000000111000000000000110100,0000,0x104001c0034,0x0,16
401,0010000010000100000000111110100010010110100,0000,0x104201f44b4,0x0,2
402,0010000010000000000000111110100010010110100,0000,0x104001f44b4,0x0,15
403,0010000010000100000000111110101000010110100,0000,0x104201f50b4,0x0,2
404,0000000010000100000000111110101000010000000,0000,0x4201f5080,0x0,1
405,0010000010000000000000111110101000010000000,0000,0x104001f5080,0x0,7
406,0010000010000100000000111011110100010011110,0000,0x104201de89e,0x0,1
407,0010000010000000000000111011110100010011110,0000,0x104001de89e,0x0,4
408,0010000010000100000000111000000000000011110,0000,0x104201c001e,0x0,1
409,0010000010000100000000111110100101110110100,0000,0x104201f4bb4,0x0,1
410,0010000010000100000000111110100000010110100,0000,0x104201f40b4,0x0,4
411,0010000010000000000000111110100000010110100,0000,0x104001f40b4,0x0,3
412,0010000010000100000000111110101010010110100,0000,0x104201f54b4,0x0,1
413,0000000010000100000000111110101010010000000,0000,0x4201f5480,0x0,1
414,0010000010000000000000111110101010010000000,0000,0x104001f5480,0x0,19
415,0000000010000100000000111110100000010000000,0000,0x4201f4080,0x0,1
416,0010000010000000000000111110100000010000000,0000,0x104001f4080,0x0,1
417,0000000010000100000000111110100010010000000,0000,0x4201f4480,0x0,1
418,0010000010000000000000111110100010010000000,0000,0x104001f4480,0x0,1
419,0010000010000100000000111000110101000000000,0000,0x104201c6a00,0x0,1
420,0010000010000100000000111000001001110000000,0000,0x104201c1380,0x0,1
421,0010000010000100000000111000001100010100000,0000,0x104201c18a0,0x0,1
422,0010000010000100000000111101001110000010000,0000,0x104201e9c10,0x0,1
423,0010000010000000000000111101001110000110000,0000,0x104001e9c30,0x0,7
424,0010000010000100000000111110000101110110000,0000,0x104201f0bb0,0x0,1
425,0010000010000000000000111110000101110110000,0000,0x104001f0bb0,0x0,20
426,0010000010000100000000111001101001000001000,0000,0x104201cd208,0x0,1
427,0010000010000000000000111001101001000011000,0000,0x104001cd218,0x0,6
428,0010000010000100000000111011000000110011000,0000,0x104201d8198,0x0,1
429,0010000010000100000000111000000000000011000,0000,0x104201c0018,0x0,1
430,0010000010000000000000111000000000000111000,0000,0x104001c0038,0x0,15
431,0010000010000100000000111000100111100111000,0000,0x104201c4f38,0x0,1
432,0010000010000000000000111000100111100000100,0000,0x104001c4f04,0x0,20
433,0010000010000000000000111000000000010100010,0000,0x104001c00a2,0x0,1
434,0010000010000000000000111111011001010111010,0000,0x104001fb2ba,0x0,1
435,0010000010000000000000111110111001110110110,0000,0x104001f73b6,0x0,7
436,0010000010000000000000111001110010110001110,0000,0x104001ce58e,0x0,14
437,0010000010000000000000111000001011010101110,0000,0x104001c16ae,0x0,7
438,0010000010000000000000111101000101010101000,0000,0x104001e8aa8,0x0,9
439,0010000010000100000000111110111110110000100,0000,0x104201f7d84,0x0,1
440,1010000010000100000000111011100000011010100,0000,0x504201dc0d4,0x0,1
441,0010001001000100000000111111111110111101100,0100,0x112201ffdec,0x4,35
442,0010000010000000000000111001100001110001100,0000,0x104001cc38c,0x0,5
443,0010000010000000000000111110110000110110110,0000,0x104001f61b6,0x0,4
444,0010000010000000000000111100110000010110100,0000,0x104001e60b4,0x0,20
445,0010000010000100000000111110100101010010010,0000,0x104201f4a92,0x0,1
446,0010000010000100000000111000001111110110100,0000,0x104201c1fb4,0x0,1
447,0010000010000100000000111101100001011101010,0000,0x104201ec2ea,0x0,1
448,0010000010000000000000111101100001011101100,0000,0x104001ec2ec,0x0,19
449,0010000010000100000000111111001011111101100,0000,0x104201f97ec,0x0,1
450,0010000010000000000000111111001011111010100,0000,0x104001f97d4,0x0,7
451,0010000010000100000000111101110101110010100,0000,0x104201eeb94,0x0,1
452,0010000010000100000000111100101001011111100,0000,0x104201e52fc,0x0,1
453,0010000010000000000000111101101001011000110,0000,0x104001ed2c6,0x0,7414
454,0010000010000100000000111101101001011110000,0000,0x104201ed2f0,0x0,1000
455,0010000010000101000000111000100000010000000,1000,0x104281c4080,0x8,1
456,0010000011000101000000111000100000010000000,1000,0x106281c4080,0x8,1
457,0010000011000101100000111000100000010000000,0000,0x1062c1c4080,0x0,1
458,0010000010000100000010110000000000000000100,1000,0x10420580004,0x8,20
459,0010000010000100010010111000000000000000100,0000,0x104225c0004,0x0,1
